%Depth	%Vp km/s	%Vs km/s	%Density g/cc	%GR	%Porosity	% Ip	% Is	%Vp/Vs	% Vclay Frac	%Sw Frac	%Sxo
2158.0330	2.4510	1.2290	2.1160	59.5580	0.3280	5.1863	2.6006	1.9943	0.1269	0.6170	0.9770
2158.1850	2.2100	1.0440	2.1160	58.1800	0.3290	4.6764	2.2091	2.1169	0.1113	0.6170	1.0000
2158.3380	2.2000	1.0200	2.1140	57.2460	0.3380	4.6508	2.1563	2.1569	0.1007	0.6340	0.9400
2158.4900	2.2380	0.9700	2.1040	56.4340	0.3420	4.7088	2.0409	2.3072	0.0915	0.6270	0.8850
2158.6420	2.3240	0.9280	2.1040	56.9920	0.3530	4.8897	1.9525	2.5043	0.0978	0.6030	1.0000
2158.7950	2.4220	1.0770	2.0980	61.9040	0.3770	5.0814	2.2595	2.2488	0.1536	0.5900	0.9790
2158.9470	2.5120	1.0750	2.0830	65.2480	0.3950	5.2325	2.2392	2.3367	0.1915	0.5490	0.9840
2159.1000	2.5800	1.1010	2.0740	65.3480	0.4030	5.3509	2.2835	2.3433	0.1926	0.5370	0.9500
2159.2520	2.5690	1.1440	2.0710	61.5060	0.3710	5.3204	2.3692	2.2456	0.1490	0.5430	0.9750
2159.4040	2.5820	1.1950	2.0690	58.8780	0.3410	5.3422	2.4725	2.1607	0.1192	0.5520	0.9640
2159.5570	2.5930	1.2000	2.0830	58.0440	0.3430	5.4012	2.4996	2.1608	0.1098	0.5740	0.9710
2159.7090	2.6070	1.2200	2.1120	57.6340	0.3480	5.5060	2.5766	2.1369	0.1051	0.6120	0.9840
2159.8620	2.6170	1.2200	2.1580	58.1710	0.3540	5.6475	2.6328	2.1451	0.1112	0.6290	1.0000
2160.0140	2.6320	1.2160	2.1860	59.8110	0.3240	5.7536	2.6582	2.1645	0.1298	0.6280	1.0000
2160.1660	2.6220	1.3180	2.1750	60.4710	0.3300	5.7029	2.8667	1.9894	0.1373	0.6000	0.9350
2160.3190	2.6280	1.3770	2.1420	59.9200	0.3340	5.6292	2.9495	1.9085	0.1311	0.5040	0.8740
2160.4710	2.6070	1.3460	2.1240	53.9580	0.3430	5.5373	2.8589	1.9368	0.0634	0.4050	0.8360
2160.6240	2.5820	1.3010	2.1480	52.5950	0.3220	5.5461	2.7945	1.9846	0.0479	0.3820	0.7890
2160.7760	2.5450	1.3010	2.1940	53.1720	0.3140	5.5837	2.8544	1.9562	0.0545	0.4000	0.8260
2160.9280	2.5130	1.1820	2.1980	55.3620	0.3130	5.5236	2.5980	2.1261	0.0793	0.3710	0.8300
2161.0810	2.5330	1.1790	2.1580	56.8220	0.3210	5.4662	2.5443	2.1484	0.0959	0.3200	0.8430
2161.2330	2.5690	1.1950	2.1100	55.2260	0.3320	5.4206	2.5215	2.1498	0.0778	0.3030	0.8030
2161.3850	2.5680	1.1920	2.0830	56.4080	0.3440	5.3491	2.4829	2.1544	0.0912	0.2950	0.7850
2161.5380	2.5290	1.2240	2.0690	54.8630	0.3490	5.2325	2.5325	2.0662	0.0737	0.2880	0.7710
2161.6900	2.5110	1.2240	2.0670	56.9500	0.3490	5.1902	2.5300	2.0515	0.0974	0.2870	0.7590
2161.8430	2.5380	1.3040	2.0720	55.3730	0.3410	5.2587	2.7019	1.9463	0.0795	0.2830	0.7610
2161.9950	2.5450	1.3380	2.0890	53.1180	0.3220	5.3165	2.7951	1.9021	0.0539	0.2890	0.7640
2162.1480	2.5530	1.3140	2.0990	55.1710	0.3070	5.3587	2.7581	1.9429	0.0772	0.2930	0.7810
