%Depth	%Vp km/s	%Vs km/s	%Density g/cc	%GR	%Porosity	% Ip	% Is	%Vp/Vs	% Vclay Frac	%Sw Frac	%Sxo
2271.5710	2.7185	1.4454	2.0707	68.5650	0.2960	5.6294	2.9930	1.8809	0.2437	0.2000	1.0000
2271.7230	2.7254	1.4153	2.0485	69.8520	0.3090	5.5829	2.8992	1.9257	0.2282	0.2000	1.0000
2271.8760	2.7416	1.4163	2.0422	68.4870	0.3120	5.5988	2.8924	1.9357	0.2365	0.2000	1.0000
2272.0280	2.7859	1.4431	1.9785	69.2150	0.3450	5.5118	2.8551	1.9305	0.2682	0.2000	1.0000
2272.1800	2.8496	1.5059	1.9576	72.0100	0.3560	5.5784	2.9479	1.8923	0.2763	0.2000	1.0000
2272.3330	2.9027	1.5502	1.9567	72.7190	0.3560	5.6798	3.0332	1.8725	0.2853	0.2000	1.0000
2272.4850	2.8582	1.5322	2.0111	73.5140	0.3280	5.7482	3.0815	1.8654	0.2531	0.2000	1.0000
2272.6380	2.9545	1.5441	2.0466	70.6760	0.3090	6.0468	3.1603	1.9134	0.2462	0.2000	1.0000
2272.7900	2.9679	1.5503	2.0429	70.0740	0.3120	6.0631	3.1672	1.9144	0.2293	0.2000	1.0000
2272.9420	2.9401	1.4912	2.0593	68.5820	0.3060	6.0546	3.0708	1.9716	0.1775	0.2000	1.0000
2273.0950	2.9432	1.5458	2.0632	64.0100	0.3050	6.0723	3.1893	1.9040	0.1582	0.2000	1.0000
2273.2470	2.8748	1.4828	2.0979	62.3110	0.2890	6.0312	3.1109	1.9387	0.1090	0.2000	1.0000
2273.4000	2.7817	1.4823	2.1042	57.9740	0.2850	5.8532	3.1191	1.8766	0.1197	0.2000	1.0000
2273.5520	2.6651	1.4218	2.1106	58.9160	0.2810	5.6248	3.0007	1.8745	0.1296	0.2000	1.0000
2273.7040	2.6602	1.4097	2.1119	59.7940	0.2780	5.6181	2.9772	1.8870	0.1687	0.2000	1.0000
2273.8570	2.6512	1.4011	2.1193	63.2360	0.2720	5.6187	2.9693	1.8923	0.2021	0.2000	1.0000
2274.0090	2.7543	1.3117	2.0848	66.1840	0.2870	5.7423	2.7347	2.0998	0.2662	0.2000	1.0000
2274.1620	2.8663	1.3341	2.0379	71.8360	0.3090	5.8411	2.7188	2.1484	0.3310	0.2000	1.0000
2274.3140	2.8858	1.5184	2.0103	77.5410	0.3230	5.8013	3.0525	1.9005	0.3514	0.2000	1.0000
2274.4660	2.8618	1.4984	2.0300	79.3380	0.3140	5.8093	3.0417	1.9099	0.3192	0.2000	1.0000
2274.6190	2.7907	1.4449	2.0494	76.5050	0.3060	5.7193	2.9612	1.9314	0.2726	0.2000	1.0000
2274.7710	2.7408	1.4334	2.0567	72.3950	0.3010	5.6369	2.9479	1.9122	0.2905	0.2000	1.0000
