%Depth	%Vp km/s	%Vs km/s	%Density g/cc	%GR	%Porosity	% Ip	% Is	%Vp/Vs	% Vclay Frac	%Sw Frac	%Sxo
2274.1620	2.9430	1.2680	2.2560	71.8360	0.3090	6.6394	2.8606	2.3210	0.3310	0.2000	1.0000
2274.3140	2.9310	1.4230	2.2890	77.5410	0.3230	6.7091	3.2572	2.0597	0.3514	0.2000	1.0000
2274.4660	2.9340	1.4120	2.2860	79.3380	0.3140	6.7071	3.2278	2.0779	0.3192	0.2000	1.0000
2274.6190	2.9240	1.3790	2.2500	76.5050	0.3060	6.5790	3.1028	2.1204	0.2726	0.2000	1.0000
2274.7710	2.9040	1.3790	2.2220	72.3950	0.3010	6.4527	3.0641	2.1059	0.2905	0.2000	1.0000
2274.9240	2.9670	1.4050	2.2200	73.9730	0.3180	6.5867	3.1191	2.1117	0.2832	0.2000	1.0000
2275.0760	3.0290	1.4050	2.2230	73.3310	0.3100	6.7335	3.1233	2.1559	0.2546	0.2000	1.0000
2275.2290	3.1210	1.4680	2.2080	70.8070	0.3100	6.8912	3.2413	2.1260	0.2180	0.2000	1.0000
2275.3810	3.1310	1.5300	2.1830	67.5810	0.3000	6.8350	3.3400	2.0464	0.1780	0.2000	1.0000
2275.5330	3.1240	1.5500	2.1680	64.0580	0.3020	6.7728	3.3604	2.0155	0.1658	0.2000	1.0000
2275.6860	3.1660	1.5360	2.1670	62.9850	0.3010	6.8607	3.3285	2.0612	0.1454	0.2000	1.0000
2275.8380	3.1960	1.5200	2.1640	61.1890	0.2870	6.9161	3.2893	2.1026	0.1638	0.2000	1.0000
2275.9900	3.2160	1.5200	2.1600	62.8110	0.2830	6.9466	3.2832	2.1158	0.1711	0.2000	1.0000
2276.1430	3.2450	1.5200	2.1590	63.4470	0.2790	7.0060	3.2817	2.1349	0.1729	0.2000	1.0000
2276.2950	3.2520	1.3910	2.1690	63.6130	0.2780	7.0536	3.0171	2.3379	0.1559	0.2000	1.0000
2276.4480	3.2720	1.5810	2.1870	62.1070	0.2840	7.1559	3.4576	2.0696	0.1605	0.2000	1.0000
2276.6000	3.2610	1.6460	2.1970	62.5180	0.2820	7.1644	3.6163	1.9812	0.1402	0.2000	1.0000
2276.7520	3.2560	1.6670	2.1970	60.7230	0.2800	7.1534	3.6624	1.9532	0.1433	0.2000	1.0000
2276.9050	3.3050	1.6670	2.1920	60.9980	0.2700	7.2446	3.6541	1.9826	0.1515	0.2000	1.0000
2277.0570	3.3210	1.6440	2.1950	61.7270	0.2700	7.2896	3.6086	2.0201	0.1474	0.2000	1.0000
