%Depth	%Vp km/s	%Vs km/s	%Density g/cc	%GR	%Porosity	% Ip	% Is	%Vp/Vs	% Vclay Frac	%Sw Frac	%Sxo
2173.2730	2.7960	1.3690	2.1290	66.3920	0.3150	5.9527	2.9146	2.0424	0.2045	0.2980	0.9630
2173.4250	2.7600	1.3690	2.1140	67.9590	0.3060	5.8346	2.8941	2.0161	0.2223	0.3020	0.9110
2173.5780	2.7380	1.3500	2.1070	69.0950	0.3170	5.7690	2.8445	2.0281	0.2351	0.3250	0.8880
2173.7300	2.6920	1.3210	2.1190	67.1090	0.3200	5.7043	2.7992	2.0379	0.2126	0.3750	0.9260
2173.8820	2.8130	1.3060	2.1270	65.6330	0.3150	5.9833	2.7779	2.1539	0.1959	0.4290	0.9450
2174.0350	2.8590	1.3110	2.1310	66.0630	0.3060	6.0925	2.7937	2.1808	0.2007	0.4500	0.9840
2174.1870	2.8780	1.3730	2.1570	70.3500	0.3310	6.2078	2.9616	2.0961	0.2494	0.4840	1.0000
2174.3400	2.8620	1.3730	2.2010	78.5570	0.3440	6.2993	3.0220	2.0845	0.3425	0.5170	1.0000
2174.4920	2.9260	1.3880	2.2490	82.9000	0.3620	6.5806	3.1216	2.1081	0.3918	0.5740	1.0000
2174.6440	2.9080	1.4590	2.2360	79.4640	0.3260	6.5023	3.2623	1.9931	0.3528	0.5180	1.0000
2174.7970	2.9040	1.4670	2.1990	74.0550	0.3140	6.3859	3.2259	1.9796	0.2914	0.4310	1.0000
2174.9490	2.8930	1.5040	2.1650	68.8260	0.2930	6.2633	3.2562	1.9235	0.2321	0.3830	1.0000
2175.1020	2.9010	1.5040	2.1480	72.7530	0.3030	6.2313	3.2306	1.9289	0.2766	0.3650	0.9790
2175.2540	2.9110	1.5150	2.1470	69.2090	0.2950	6.2499	3.2527	1.9215	0.2364	0.3490	0.9570
2175.4070	2.9250	1.5240	2.1480	70.0100	0.2890	6.2829	3.2736	1.9193	0.2455	0.3270	0.9600
2175.5590	2.9250	1.5370	2.1460	66.0530	0.2880	6.2771	3.2984	1.9031	0.2006	0.2900	0.9040
2175.7110	2.9250	1.5350	2.1440	68.3870	0.3050	6.2712	3.2910	1.9055	0.2271	0.2390	0.9000
2175.8630	2.9230	1.5340	2.1280	66.3280	0.3090	6.2201	3.2644	1.9055	0.2037	0.2040	0.8700
2176.0160	2.9290	1.5340	2.1250	66.7130	0.3060	6.2241	3.2598	1.9094	0.2081	0.2010	0.8000
2176.1690	2.9310	1.5360	2.1230	65.2220	0.2980	6.2225	3.2609	1.9082	0.1912	0.2030	0.7890
2176.3210	2.9160	1.5280	2.1290	67.7360	0.2970	6.2082	3.2531	1.9084	0.2197	0.2050	0.8250
2176.4730	2.9150	1.5190	2.1290	65.3050	0.2870	6.2060	3.2340	1.9190	0.1921	0.2020	0.8660
