%Depth m	%Vp km/s	%Vs km/s	%Density g/cc	%GR	%Porosity	% Ip	% Is	%Vp/Vs	% Vclay Frac	%Sw Frac	%Sxo
2146.0000	2.5700	0.9840	2.2670	85.6510	0.4440	5.8262	2.2484	2.6118	0.4230	1.0000	1.0000
2146.1000	2.5760	1.0480	2.2252	85.5480	0.4450	5.7321	2.4062	2.4580	0.4218	1.0000	1.0000
2146.3000	2.5730	1.0860	2.2634	86.5820	0.4610	5.8237	2.5043	2.3692	0.4335	1.0000	1.0000
2146.5000	2.5790	1.0600	2.3104	83.8320	0.4360	5.9585	2.4465	2.4330	0.4023	1.0000	1.0000
2146.6000	2.5190	1.1060	2.3517	83.0440	0.4340	5.9239	2.5515	2.2776	0.3934	1.0000	1.0000
2146.8000	2.4930	1.1060	2.3804	82.1040	0.3940	5.9343	2.5526	2.2541	0.3827	1.0000	0.9960
2146.9000	2.4840	1.1040	2.3936	83.4530	0.3880	5.9457	2.5547	2.2500	0.3980	1.0000	0.9910
2147.1000	2.4820	1.1380	2.3920	81.1090	0.3460	5.9369	2.6311	2.1810	0.3714	1.0000	0.9760
2147.2000	2.4930	1.0740	2.3456	82.5120	0.3480	5.8476	2.4562	2.3212	0.3874	1.0000	0.9480
2147.4000	2.4650	1.0280	2.2873	82.7340	0.3580	5.6382	2.3500	2.3979	0.3899	1.0000	1.0000
2147.5000	2.5290	1.0080	2.2345	88.1810	0.4070	5.6511	2.3073	2.5089	0.4517	1.0000	1.0000
2147.7000	2.5340	1.0060	2.2488	90.4450	0.4380	5.6985	2.2957	2.5189	0.4774	1.0000	1.0000
2147.8000	2.5480	1.0070	2.2964	95.4580	0.4530	5.8512	2.3131	2.5303	0.5342	1.0000	1.0000
2148.0000	2.5190	1.0560	2.3354	92.2350	0.4120	5.8829	2.4267	2.3854	0.4977	1.0000	1.0000
2148.1000	2.4970	1.0410	2.3735	86.5450	0.3890	5.9266	2.3953	2.3987	0.4331	1.0000	1.0000
2148.3000	2.4520	1.0270	2.3578	80.5780	0.3710	5.7813	2.3570	2.3875	0.3654	1.0000	0.9690
2148.4000	2.4750	1.0270	2.3240	77.1290	0.3720	5.7519	2.3518	2.4099	0.3263	1.0000	0.8960
2148.6000	2.4070	1.0210	2.2788	83.0510	0.3890	5.4851	2.3279	2.3575	0.3935	1.0000	1.0000
2148.7000	2.4470	1.0410	2.2621	88.6070	0.3880	5.5354	2.3787	2.3506	0.4565	1.0000	1.0000
2148.9000	2.6070	1.0710	2.2526	95.0420	0.4190	5.8725	2.4301	2.4342	0.5295	1.0000	1.0000
2149.0000	2.5770	1.0300	2.2273	93.0290	0.4170	5.7398	2.3463	2.5019	0.5067	1.0000	1.0000
2149.2000	2.5960	1.0300	2.2021	91.6440	0.4310	5.7167	2.3845	2.5204	0.4910	1.0000	1.0000
2149.3000	2.6150	1.0790	2.2532	85.8730	0.4180	5.8921	2.4903	2.4235	0.4255	1.0000	1.0000
2149.5000	2.5620	0.9660	2.3045	80.1250	0.4140	5.9041	2.2334	2.6522	0.3603	1.0000	1.0000
2149.7000	2.4120	0.9430	2.2524	73.6500	0.4270	5.4328	2.1849	2.5578	0.2868	1.0000	1.0000
2149.8000	2.3410	0.9440	2.1542	75.2660	0.4380	5.0430	2.1759	2.4799	0.3051	1.0000	1.0000
2150.0000	2.3630	0.9430	2.1482	81.7960	0.4260	5.0762	2.1406	2.5058	0.3792	1.0000	1.0000
2150.1000	2.3750	0.9320	2.2394	86.3040	0.3800	5.3186	2.0998	2.5483	0.4304	1.0000	1.0000
2150.3000	2.3880	0.9490	2.1466	86.5090	0.3650	5.1261	2.1438	2.5163	0.4327	1.0000	1.0000
2150.4000	2.5250	1.0150	2.1300	88.4550	0.3890	5.3783	2.2959	2.4877	0.4548	1.0000	1.0000
2150.6000	2.6230	1.0120	2.1300	89.9410	0.4420	5.5870	2.2922	2.5919	0.4716	1.0000	1.0000
2150.7000	2.6200	1.0110	2.1300	89.9020	0.4670	5.5806	2.3213	2.5915	0.4712	1.0000	1.0000
2150.9000	2.5740	0.9590	2.1870	84.5380	0.4660	5.6293	2.2230	2.6840	0.4103	1.0000	1.0000
2151.0000	2.4360	0.9110	2.2694	82.7030	0.4300	5.5283	2.1117	2.6740	0.3895	1.0000	0.9940
2151.2000	2.4110	0.9040	2.3522	84.9840	0.3950	5.6712	2.0864	2.6670	0.4154	1.0000	0.9660
